match_id,date,venue,city,country,competition,match_type,balls_per_over,team1,team2,toss_winner,toss_decision,winner,win_type,win_margin,player_of_match
20211019_AlAmeratCricketGroundOmanCricketMinistryTurf1_Scotland_vs_PapuaNewGuinea,2021-10-19,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Oman,,T20,6,Scotland,Papua New Guinea,Scotland,bat,Scotland,runs,17,RD Berrington
20211107_SharjahCricketStadium_Pakistan_vs_Scotland,2021-11-07,Sharjah Cricket Stadium,Sharjah,UAE,,T20,6,Pakistan,Scotland,Pakistan,bat,Pakistan,runs,72,Shoaib Malik
20211105_SharjahCricketStadium_NewZealand_vs_Namibia,2021-11-05,Sharjah Cricket Stadium,Sharjah,UAE,,T20,6,New Zealand,Namibia,Namibia,field,New Zealand,runs,52,JDS Neesham
20211102_ZayedCricketStadiumAbuDhabi_Bangladesh_vs_SouthAfrica,2021-11-02,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,UAE,,T20,6,Bangladesh,South Africa,South Africa,field,South Africa,wickets,6,K Rabada
20211021_AlAmeratCricketGroundOmanCricketMinistryTurf1_Bangladesh_vs_PapuaNewGuinea,2021-10-21,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Oman,,T20,6,Bangladesh,Papua New Guinea,Bangladesh,bat,Bangladesh,runs,84,Shakib Al Hasan
20211019_AlAmeratCricketGroundOmanCricketMinistryTurf1_Bangladesh_vs_Oman,2021-10-19,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Oman,,T20,6,Bangladesh,Oman,Bangladesh,bat,Bangladesh,runs,26,Shakib Al Hasan
20211030_DubaiInternationalCricketStadium_Australia_vs_England,2021-10-30,Dubai International Cricket Stadium,Dubai,UAE,,T20,6,Australia,England,England,field,England,wickets,8,CJ Jordan
20211029_SharjahCricketStadium_WestIndies_vs_Bangladesh,2021-10-29,Sharjah Cricket Stadium,Sharjah,UAE,,T20,6,West Indies,Bangladesh,Bangladesh,field,West Indies,runs,3,N Pooran
20211024_SharjahCricketStadium_Bangladesh_vs_SriLanka,2021-10-24,Sharjah Cricket Stadium,Sharjah,UAE,,T20,6,Bangladesh,Sri Lanka,Sri Lanka,field,Sri Lanka,wickets,5,KIC Asalanka
20211017_AlAmeratCricketGroundOmanCricketMinistryTurf1_PapuaNewGuinea_vs_Oman,2021-10-17,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Oman,,T20,6,Papua New Guinea,Oman,Oman,field,Oman,wickets,10,Zeeshan Maqsood
20211020_ZayedCricketStadiumAbuDhabi_Netherlands_vs_Namibia,2021-10-20,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,UAE,,T20,6,Netherlands,Namibia,Namibia,field,Namibia,wickets,6,D Wiese
20211027_ZayedCricketStadiumAbuDhabi_Bangladesh_vs_England,2021-10-27,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,UAE,,T20,6,Bangladesh,England,Bangladesh,bat,England,wickets,8,JJ Roy
20211102_ZayedCricketStadiumAbuDhabi_Pakistan_vs_Namibia,2021-11-02,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,UAE,,T20,6,Pakistan,Namibia,Pakistan,bat,Pakistan,runs,45,Mohammad Rizwan
20211021_AlAmeratCricketGroundOmanCricketMinistryTurf1_Oman_vs_Scotland,2021-10-21,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Oman,,T20,6,Oman,Scotland,Oman,bat,Scotland,wickets,8,JH Davey
20211101_SharjahCricketStadium_England_vs_SriLanka,2021-11-01,Sharjah Cricket Stadium,Sharjah,UAE,,T20,6,England,Sri Lanka,Sri Lanka,field,England,runs,26,JC Buttler
20211020_ZayedCricketStadiumAbuDhabi_SriLanka_vs_Ireland,2021-10-20,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,UAE,,T20,6,Sri Lanka,Ireland,Ireland,field,Sri Lanka,runs,70,PWH de Silva
20211018_ZayedCricketStadiumAbuDhabi_Netherlands_vs_Ireland,2021-10-18,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,UAE,,T20,6,Netherlands,Ireland,Netherlands,bat,Ireland,wickets,7,C Campher
20211105_DubaiInternationalCricketStadium_Scotland_vs_India,2021-11-05,Dubai International Cricket Stadium,Dubai,UAE,,T20,6,Scotland,India,India,field,India,wickets,8,RA Jadeja
20211026_DubaiInternationalCricketStadium_WestIndies_vs_SouthAfrica,2021-10-26,Dubai International Cricket Stadium,Dubai,UAE,,T20,6,West Indies,South Africa,South Africa,field,South Africa,wickets,8,A Nortje
20211018_ZayedCricketStadiumAbuDhabi_Namibia_vs_SriLanka,2021-10-18,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,UAE,,T20,6,Namibia,Sri Lanka,Sri Lanka,field,Sri Lanka,wickets,7,M Theekshana
20211027_ZayedCricketStadiumAbuDhabi_Scotland_vs_Namibia,2021-10-27,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,UAE,,T20,6,Scotland,Namibia,Namibia,field,Namibia,wickets,4,R Trumpelmann
20211023_ZayedCricketStadiumAbuDhabi_SouthAfrica_vs_Australia,2021-10-23,"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,UAE,,T20,6,South Africa,Australia,Australia,field,Australia,wickets,5,JR Hazlewood
20221022_SydneyCricketGround_NewZealand_vs_Australia,2022-10-22,Sydney Cricket Ground,Sydney,Australia,,T20,6,New Zealand,Australia,Australia,field,New Zealand,runs,89,DP Conway
20221027_SydneyCricketGround_SouthAfrica_vs_Bangladesh,2022-10-27,Sydney Cricket Ground,Sydney,Australia,,T20,6,South Africa,Bangladesh,South Africa,bat,South Africa,runs,104,RR Rossouw
20221106_AdelaideOval_Netherlands_vs_SouthAfrica,2022-11-06,Adelaide Oval,Adelaide,Australia,,T20,6,Netherlands,South Africa,South Africa,field,Netherlands,runs,13,CN Ackermann
20221018_GMHBAStadiumSouthGeelongVictoria_Namibia_vs_Netherlands,2022-10-18,"GMHBA Stadium, South Geelong, Victoria",Geelong,Australia,,T20,6,Namibia,Netherlands,Namibia,bat,Netherlands,wickets,5,BFW de Leede
20221110_AdelaideOval_India_vs_England,2022-11-10,Adelaide Oval,Adelaide,Australia,,T20,6,India,England,England,field,England,wickets,10,AD Hales
20221023_BelleriveOvalHobart_Ireland_vs_SriLanka,2022-10-23,"Bellerive Oval, Hobart",Hobart,Australia,,T20,6,Ireland,Sri Lanka,Ireland,bat,Sri Lanka,wickets,9,BKG Mendis
20221025_PerthStadium_SriLanka_vs_Australia,2022-10-25,Perth Stadium,Perth,Australia,,T20,6,Sri Lanka,Australia,Australia,field,Australia,wickets,7,MP Stoinis
20221029_SydneyCricketGround_NewZealand_vs_SriLanka,2022-10-29,Sydney Cricket Ground,Sydney,Australia,,T20,6,New Zealand,Sri Lanka,New Zealand,bat,New Zealand,runs,65,GD Phillips
20221102_AdelaideOval_Zimbabwe_vs_Netherlands,2022-11-02,Adelaide Oval,Adelaide,Australia,,T20,6,Zimbabwe,Netherlands,Zimbabwe,bat,Netherlands,wickets,5,MP O'Dowd
20221030_PerthStadium_India_vs_SouthAfrica,2022-10-30,Perth Stadium,Perth,Australia,,T20,6,India,South Africa,India,bat,South Africa,wickets,5,L Ngidi
20221030_BrisbaneCricketGroundWoolloongabbaBrisbane_Bangladesh_vs_Zimbabwe,2022-10-30,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane,Australia,,T20,6,Bangladesh,Zimbabwe,Bangladesh,bat,Bangladesh,runs,3,Taskin Ahmed
20221104_AdelaideOval_NewZealand_vs_Ireland,2022-11-04,Adelaide Oval,Adelaide,Australia,,T20,6,New Zealand,Ireland,Ireland,field,New Zealand,runs,35,KS Williamson
20221031_BrisbaneCricketGroundWoolloongabbaBrisbane_Australia_vs_Ireland,2022-10-31,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane,Australia,,T20,6,Australia,Ireland,Ireland,field,Australia,runs,42,AJ Finch
20221106_MelbourneCricketGround_India_vs_Zimbabwe,2022-11-06,Melbourne Cricket Ground,Melbourne,Australia,,T20,6,India,Zimbabwe,India,bat,India,runs,71,SA Yadav
20221102_AdelaideOval_India_vs_Bangladesh,2022-11-02,Adelaide Oval,Adelaide,Australia,,T20,6,India,Bangladesh,Bangladesh,field,India,runs,5,V Kohli
20221020_GMHBAStadiumSouthGeelongVictoria_SriLanka_vs_Netherlands,2022-10-20,"GMHBA Stadium, South Geelong, Victoria",Geelong,Australia,,T20,6,Sri Lanka,Netherlands,Sri Lanka,bat,Sri Lanka,runs,16,BKG Mendis
